stage=T1_measured_founding  step=280  global_step=280  loss=1.011  lr=0.0005993  wall_s=2855  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.56  real_bold_nll=5.078  bold_log_scale=5.72  bold_parcels_covered=400
stage=T1_measured_founding  step=300  global_step=300  loss=1.033  lr=0.000599  wall_s=3045  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.527  real_bold_nll=4.15  bold_log_scale=5.369  bold_parcels_covered=400
stage=T1_measured_founding  step=320  global_step=320  loss=1.077  lr=0.0005985  wall_s=3233  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.595  real_bold_nll=5.374  bold_log_scale=5.46  bold_parcels_covered=400
stage=T1_measured_founding  step=340  global_step=340  loss=1.029  lr=0.000598  wall_s=3422  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.469  real_bold_nll=4.184  bold_log_scale=5.721  bold_parcels_covered=397
stage=T1_measured_founding  step=360  global_step=360  loss=1.085  lr=0.0005973  wall_s=3608  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.508  real_bold_nll=8.422  bold_log_scale=5.359  bold_parcels_covered=400
stage=T1_measured_founding  step=380  global_step=380  loss=1.051  lr=0.0005966  wall_s=3802  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.602  real_bold_nll=13.44  bold_log_scale=5.482  bold_parcels_covered=400
stage=T1_measured_founding  step=400  global_step=400  loss=1.047  lr=0.0005959  wall_s=3992  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.569  real_bold_nll=19.77  bold_log_scale=5.666  bold_parcels_covered=400
stage=T1_measured_founding  step=420  global_step=420  loss=1.028  lr=0.000595  wall_s=4180  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.589  real_bold_nll=12.55  bold_log_scale=5.831  bold_parcels_covered=379
stage=T1_measured_founding  step=440  global_step=440  loss=1.007  lr=0.0005941  wall_s=4372  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.577  real_bold_nll=17.29  bold_log_scale=5.829  bold_parcels_covered=397
stage=T1_measured_founding  step=460  global_step=460  loss=0.9825  lr=0.000593  wall_s=4563  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.525  real_bold_nll=13.21  bold_log_scale=5.702  bold_parcels_covered=393
stage=T1_measured_founding  step=480  global_step=480  loss=1.059  lr=0.0005919  wall_s=4751  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.608  real_bold_nll=15.98  bold_log_scale=5.826  bold_parcels_covered=399
stage=T1_measured_founding  step=500  global_step=500  loss=0.9469  lr=0.0005908  wall_s=4941  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.492  real_bold_nll=15.4  bold_log_scale=5.537  bold_parcels_covered=379
stage=T1_measured_founding  step=520  global_step=520  loss=1.033  lr=0.0005895  wall_s=5133  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.484  real_bold_nll=22.6  bold_log_scale=5.537  bold_parcels_covered=400
stage=T1_measured_founding  step=540  global_step=540  loss=0.7032  lr=0.0005882  wall_s=5321  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.509  real_bold_nll=28.57  bold_log_scale=5.771  bold_parcels_covered=391
stage=T1_measured_founding  step=560  global_step=560  loss=0.8439  lr=0.0005867  wall_s=5514  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.556  real_bold_nll=17.35  bold_log_scale=5.589  bold_parcels_covered=400
stage=T1_measured_founding  step=580  global_step=580  loss=0.8969  lr=0.0005852  wall_s=5705  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.493  real_bold_nll=39.73  bold_log_scale=5.578  bold_parcels_covered=400
stage=T1_measured_founding  step=600  global_step=600  loss=0.9233  lr=0.0005837  wall_s=5897  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.499  real_bold_nll=32.63  bold_log_scale=5.669  bold_parcels_covered=391
stage=T1_measured_founding  step=620  global_step=620  loss=1.005  lr=0.000582  wall_s=6092  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.495  real_bold_nll=38.9  bold_log_scale=5.627  bold_parcels_covered=400
stage=T1_measured_founding  step=640  global_step=640  loss=0.9888  lr=0.0005803  wall_s=6285  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.516  real_bold_nll=41.17  bold_log_scale=5.809  bold_parcels_covered=397
stage=T1_measured_founding  step=660  global_step=660  loss=1.022  lr=0.0005785  wall_s=6479  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.578  real_bold_nll=55.85  bold_log_scale=5.684  bold_parcels_covered=399
stage=T1_measured_founding  step=680  global_step=680  loss=1.061  lr=0.0005766  wall_s=6671  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.482  real_bold_nll=89.33  bold_log_scale=5.459  bold_parcels_covered=393
stage=T1_measured_founding  step=700  global_step=700  loss=1.073  lr=0.0005746  wall_s=6866  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.524  real_bold_nll=82.4  bold_log_scale=5.564  bold_parcels_covered=400
