[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1679840
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
[noise-floor init] log_noise +0.0000 -> +0.7541  (variance 1.0000 -> 2.6282, realised 4.2577)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=440  global_step=440  loss=0.9328  lr=0.0003341  wall_s=821.9  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.6103  npe_loss=7.795  npe_rejected=0  npe_seen_max=26.47
stage=T1_measured_founding  step=460  global_step=460  loss=1.234  lr=0.0003326  wall_s=858.7  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.8629  npe_loss=8.23  npe_rejected=0  npe_seen_max=26.47
stage=T1_measured_founding  step=480  global_step=480  loss=1.237  lr=0.0003311  wall_s=895.5  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.8796  npe_loss=8.532  npe_rejected=0  npe_seen_max=26.47
stage=T1_measured_founding  step=500  global_step=500  loss=0.9316  lr=0.0003296  wall_s=932.1  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.6205  npe_loss=7.873  npe_rejected=0  npe_seen_max=26.47
stage=T1_measured_founding  step=520  global_step=520  loss=0.7939  lr=0.0003279  wall_s=969  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.5158  npe_loss=7.976  npe_rejected=0  npe_seen_max=26.47
stage=T1_measured_founding  step=540  global_step=540  loss=0.9893  lr=0.0003262  wall_s=1006  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.6725  npe_loss=8.07  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=560  global_step=560  loss=0.9587  lr=0.0003244  wall_s=1042  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.636  npe_loss=7.948  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=580  global_step=580  loss=0.9616  lr=0.0003225  wall_s=1080  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.6198  npe_loss=8.014  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=600  global_step=600  loss=1.239  lr=0.0003206  wall_s=1118  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.8438  npe_loss=7.626  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=620  global_step=620  loss=0.8315  lr=0.0003185  wall_s=1155  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.5259  npe_loss=7.659  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=640  global_step=640  loss=1.192  lr=0.0003165  wall_s=1191  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.8066  npe_loss=7.972  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=660  global_step=660  loss=1.229  lr=0.0003143  wall_s=1228  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.8439  npe_loss=7.724  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=680  global_step=680  loss=1.068  lr=0.0003121  wall_s=1265  traj_s_per_s=13.2  gpu_reserved_gb=36.81  sim_forecast_nll=0.7231  npe_loss=8.261  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=700  global_step=700  loss=1.052  lr=0.0003098  wall_s=1302  traj_s_per_s=13.2  gpu_reserved_gb=37.01  sim_forecast_nll=0.6955  npe_loss=7.712  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=720  global_step=720  loss=0.8744  lr=0.0003074  wall_s=1338  traj_s_per_s=13.2  gpu_reserved_gb=37.01  sim_forecast_nll=0.5572  npe_loss=7.846  npe_rejected=0  npe_seen_max=27.1
stage=T1_measured_founding  step=740  global_step=740  loss=0.8414  lr=0.000305  wall_s=1375  traj_s_per_s=13.2  gpu_reserved_gb=37.01  sim_forecast_nll=0.5015  npe_loss=7.666  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=760  global_step=760  loss=1.178  lr=0.0003025  wall_s=1412  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.7473  npe_loss=7.708  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=780  global_step=780  loss=0.8875  lr=0.0003  wall_s=1449  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.5457  npe_loss=7.691  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=800  global_step=800  loss=0.9619  lr=0.0002974  wall_s=1485  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.6051  npe_loss=8.435  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=820  global_step=820  loss=1.03  lr=0.0002947  wall_s=1522  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.6654  npe_loss=7.949  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=840  global_step=840  loss=0.8597  lr=0.000292  wall_s=1558  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.5377  npe_loss=7.948  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=860  global_step=860  loss=1.062  lr=0.0002892  wall_s=1595  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.6836  npe_loss=7.886  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=880  global_step=880  loss=0.831  lr=0.0002864  wall_s=1632  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.5174  npe_loss=7.988  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=900  global_step=900  loss=1.314  lr=0.0002835  wall_s=1669  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.8644  npe_loss=7.665  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=920  global_step=920  loss=0.8144  lr=0.0002805  wall_s=1705  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.5041  npe_loss=8.307  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=940  global_step=940  loss=1.39  lr=0.0002775  wall_s=1742  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.947  npe_loss=8.022  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=960  global_step=960  loss=0.6703  lr=0.0002745  wall_s=1779  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.3986  npe_loss=8.15  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=980  global_step=980  loss=1.218  lr=0.0002714  wall_s=1817  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.8057  npe_loss=8.051  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=1000  global_step=1000  loss=0.9217  lr=0.0002683  wall_s=1856  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.5773  npe_loss=7.684  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=1020  global_step=1020  loss=0.8638  lr=0.0002651  wall_s=1896  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.5251  npe_loss=7.82  npe_rejected=0  npe_seen_max=27.55
stage=T1_measured_founding  step=1040  global_step=1040  loss=1.068  lr=0.0002618  wall_s=1933  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.6674  npe_loss=8.306  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1060  global_step=1060  loss=0.9134  lr=0.0002586  wall_s=1972  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.5467  npe_loss=8.114  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1080  global_step=1080  loss=0.8214  lr=0.0002553  wall_s=2009  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.4774  npe_loss=7.739  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1100  global_step=1100  loss=1.11  lr=0.0002519  wall_s=2046  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.6911  npe_loss=7.492  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1120  global_step=1120  loss=1.044  lr=0.0002485  wall_s=2083  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.6268  npe_loss=7.686  npe_rejected=0  npe_seen_max=28.92
