[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1679840
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
[noise-floor init] log_noise +0.0000 -> +0.7541  (variance 1.0000 -> 2.6282, realised 4.2577)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=440  global_step=440  loss=0.9385  lr=0.0003341  wall_s=788.2  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6166  npe_loss=8.076  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=460  global_step=460  loss=1.245  lr=0.0003326  wall_s=824.2  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.866  npe_loss=8.538  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=480  global_step=480  loss=1.23  lr=0.0003311  wall_s=859.6  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.8811  npe_loss=8.928  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=500  global_step=500  loss=0.9111  lr=0.0003296  wall_s=895.6  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6122  npe_loss=8.239  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=520  global_step=520  loss=0.7979  lr=0.0003279  wall_s=931.7  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.5188  npe_loss=8.54  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=540  global_step=540  loss=0.9916  lr=0.0003262  wall_s=967.7  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.668  npe_loss=8.516  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=560  global_step=560  loss=0.9619  lr=0.0003244  wall_s=1003  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6374  npe_loss=8.351  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=580  global_step=580  loss=0.9612  lr=0.0003225  wall_s=1039  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6171  npe_loss=8.793  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=600  global_step=600  loss=1.232  lr=0.0003206  wall_s=1074  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.8402  npe_loss=8.222  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=620  global_step=620  loss=0.8546  lr=0.0003185  wall_s=1110  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.5562  npe_loss=8.326  npe_rejected=0  npe_seen_max=35.01
stage=T1_measured_founding  step=640  global_step=640  loss=1.161  lr=0.0003165  wall_s=1145  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.8034  npe_loss=8.828  npe_rejected=0  npe_seen_max=35.01
stage=T1_measured_founding  step=660  global_step=660  loss=1.222  lr=0.0003143  wall_s=1181  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.8416  npe_loss=8.734  npe_rejected=0  npe_seen_max=35.01
stage=T1_measured_founding  step=680  global_step=680  loss=1.059  lr=0.0003121  wall_s=1216  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.7221  npe_loss=9.42  npe_rejected=0  npe_seen_max=35.01
stage=T1_measured_founding  step=700  global_step=700  loss=1.074  lr=0.0003098  wall_s=1252  traj_s_per_s=13.7  gpu_reserved_gb=37.01  sim_forecast_nll=0.6925  npe_loss=9.69  npe_rejected=0  npe_seen_max=35.01
stage=T1_measured_founding  step=720  global_step=720  loss=0.8963  lr=0.0003074  wall_s=1288  traj_s_per_s=13.7  gpu_reserved_gb=37.01  sim_forecast_nll=0.555  npe_loss=11.61  npe_rejected=0  npe_seen_max=35.01
stage=T1_measured_founding  step=740  global_step=740  loss=0.8545  lr=0.000305  wall_s=1324  traj_s_per_s=13.7  gpu_reserved_gb=37.01  sim_forecast_nll=0.5001  npe_loss=13.03  npe_rejected=0  npe_seen_max=55.44
stage=T1_measured_founding  step=760  global_step=760  loss=1.143  lr=0.0003025  wall_s=1359  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.7479  npe_loss=14.98  npe_rejected=0  npe_seen_max=55.44
stage=T1_measured_founding  step=780  global_step=780  loss=0.8635  lr=0.0003  wall_s=1395  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.5388  npe_loss=17.31  npe_rejected=0  npe_seen_max=55.44
stage=T1_measured_founding  step=800  global_step=800  loss=0.9286  lr=0.0002974  wall_s=1430  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.5968  npe_loss=19.64  npe_rejected=0  npe_seen_max=55.44
stage=T1_measured_founding  step=820  global_step=820  loss=1.02  lr=0.0002947  wall_s=1466  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.6656  npe_loss=22.58  npe_rejected=0  npe_seen_max=93.81
stage=T1_measured_founding  step=840  global_step=840  loss=0.8582  lr=0.000292  wall_s=1502  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.5368  npe_loss=32.06  npe_rejected=0  npe_seen_max=159.2
stage=T1_measured_founding  step=860  global_step=860  loss=1.066  lr=0.0002892  wall_s=1537  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.6796  npe_loss=77.05  npe_rejected=0  npe_seen_max=624.7
[npe] REJ#0 all=False kept=63/64 per=[8458.088, 444.399, 17466.812, 695.765, 504.367, 1109.308] y|max=16.92 c|max=1.632 u|max=3.589 u_fin=True th|max=6.106
stage=T1_measured_founding  step=880  global_step=880  loss=0.8519  lr=0.0002864  wall_s=1573  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.5092  npe_loss=1229  npe_rejected=1  npe_seen_max=1.747e+04
[npe] REJ#1 all=False kept=61/64 per=[273.128, 130.605, 3480.242, 5357.521, 641.478, 119.68] y|max=17.16 c|max=1.665 u|max=3.719 u_fin=True th|max=6.126
[npe] REJ#2 all=False kept=63/64 per=[45.431, 974.92, 362.584, 2993.765, 837.752, 2325.202] y|max=23.42 c|max=1.647 u|max=3.382 u_fin=True th|max=6.18
